المحافظة,القطاع,رأس_المال_المطلوب_بالألف,مؤشر_المخاطرة,القرار_الاستثماري
طرطوس,صناعة هندسية,493.0,0.23,فرصة واعدة
حماة,تجارة إلكترونية,16.9,0.3,استثمار متوسط
إدلب,صناعة هندسية,1111.3,0.25,فرصة واعدة
الرقة,خدمات تقنية,15.8,0.45,فرصة واعدة
إدلب,طاقة متجددة,203.4,0.36,استثمار متوسط
إدلب,تصنيع غذائي,75.4,0.37,استثمار متوسط
طرطوس,طاقة متجددة,503.9,0.4,فرصة واعدة
الحسكة,تصنيع غذائي,114.3,0.5,استثمار متوسط
الرقة,خدمات تقنية,29.7,0.59,فرصة واعدة
الرقة,خدمات تقنية,23.4,0.6,فرصة واعدة
إدلب,خدمات تقنية,14.5,0.47,فرصة واعدة
دمشق,تجارة إلكترونية,41.1,0.17,فرصة واعدة
السويداء,طاقة متجددة,415.4,0.36,فرصة واعدة
درعا,طاقة متجددة,103.8,0.54,مخاطرة عالية
السويداء,زراعة حديثة,68.2,0.67,فرصة واعدة
حمص,صناعة هندسية,617.3,0.64,استثمار متوسط
حلب,طاقة متجددة,109.3,0.42,مخاطرة عالية
إدلب,صناعة هندسية,563.4,0.61,فرصة واعدة
إدلب,طاقة متجددة,496.2,0.12,فرصة واعدة
السويداء,خدمات تقنية,11.9,0.24,فرصة واعدة
الرقة,طاقة متجددة,316.6,0.69,فرصة واعدة
حلب,خدمات تقنية,14.9,0.36,استثمار متوسط
السويداء,خدمات تقنية,10.1,0.6,استثمار متوسط
القنيطرة,تصنيع غذائي,75.4,0.45,مخاطرة عالية
إدلب,صناعة هندسية,283.5,0.47,استثمار متوسط
إدلب,صناعة هندسية,629.3,0.46,فرصة واعدة
الحسكة,تجارة إلكترونية,17.5,0.69,استثمار متوسط
حمص,تجارة إلكترونية,18.1,0.3,فرصة واعدة
حلب,تجارة إلكترونية,41.0,0.24,فرصة واعدة
درعا,تجارة إلكترونية,22.3,0.32,فرصة واعدة
دمشق,تصنيع غذائي,201.8,0.32,فرصة واعدة
دير الزور,خدمات تقنية,13.1,0.64,استثمار متوسط
حماة,طاقة متجددة,417.1,0.28,فرصة واعدة
الرقة,زراعة حديثة,39.6,0.23,استثمار متوسط
دمشق,خدمات تقنية,26.7,0.41,فرصة واعدة
السويداء,تصنيع غذائي,200.8,0.12,فرصة واعدة
الحسكة,خدمات تقنية,14.4,0.22,فرصة واعدة
القنيطرة,تجارة إلكترونية,31.4,0.29,فرصة واعدة
السويداء,خدمات تقنية,20.6,0.19,فرصة واعدة
دير الزور,تجارة إلكترونية,21.4,0.28,فرصة واعدة
حماة,تجارة إلكترونية,14.2,0.36,استثمار متوسط
حلب,خدمات تقنية,4.9,0.66,مخاطرة عالية
دمشق,تصنيع غذائي,224.6,0.21,فرصة واعدة
ريف دمشق,زراعة حديثة,56.3,0.47,استثمار متوسط
السويداء,خدمات تقنية,23.7,0.41,فرصة واعدة
حلب,زراعة حديثة,90.5,0.42,فرصة واعدة
إدلب,تصنيع غذائي,118.0,0.62,استثمار متوسط
السويداء,تصنيع غذائي,168.2,0.11,فرصة واعدة
دمشق,تصنيع غذائي,157.4,0.48,استثمار متوسط
إدلب,صناعة هندسية,1138.7,0.58,فرصة واعدة
درعا,زراعة حديثة,119.2,0.62,فرصة واعدة
ريف دمشق,زراعة حديثة,36.5,0.48,مخاطرة عالية
طرطوس,زراعة حديثة,62.8,0.14,فرصة واعدة
إدلب,خدمات تقنية,5.8,0.58,مخاطرة عالية
اللاذقية,زراعة حديثة,146.8,0.5,فرصة واعدة
دمشق,تجارة إلكترونية,39.1,0.44,فرصة واعدة
القنيطرة,تصنيع غذائي,210.3,0.32,فرصة واعدة
حماة,تجارة إلكترونية,10.1,0.67,مخاطرة عالية
إدلب,طاقة متجددة,545.6,0.45,فرصة واعدة
الحسكة,تصنيع غذائي,152.9,0.2,فرصة واعدة
حمص,طاقة متجددة,531.6,0.45,فرصة واعدة
حماة,طاقة متجددة,385.9,0.55,فرصة واعدة
حلب,زراعة حديثة,106.5,0.25,فرصة واعدة
السويداء,تجارة إلكترونية,12.9,0.12,استثمار متوسط
الحسكة,صناعة هندسية,610.8,0.11,فرصة واعدة
الرقة,زراعة حديثة,87.4,0.31,فرصة واعدة
الحسكة,زراعة حديثة,71.6,0.69,فرصة واعدة
ريف دمشق,خدمات تقنية,8.6,0.53,مخاطرة عالية
طرطوس,خدمات تقنية,28.1,0.41,فرصة واعدة
طرطوس,تصنيع غذائي,292.7,0.47,فرصة واعدة
دمشق,زراعة حديثة,42.9,0.55,مخاطرة عالية
الحسكة,صناعة هندسية,1189.3,0.28,فرصة واعدة
إدلب,خدمات تقنية,8.5,0.3,استثمار متوسط
حمص,طاقة متجددة,428.0,0.26,فرصة واعدة
القنيطرة,طاقة متجددة,229.4,0.14,فرصة واعدة
دير الزور,صناعة هندسية,868.4,0.51,فرصة واعدة
حماة,تصنيع غذائي,296.6,0.4,فرصة واعدة
حمص,طاقة متجددة,447.2,0.43,فرصة واعدة
دمشق,تجارة إلكترونية,42.4,0.7,فرصة واعدة
إدلب,صناعة هندسية,367.3,0.15,استثمار متوسط
درعا,طاقة متجددة,549.2,0.52,فرصة واعدة
الرقة,خدمات تقنية,23.3,0.36,فرصة واعدة
درعا,طاقة متجددة,307.3,0.33,فرصة واعدة
درعا,خدمات تقنية,18.4,0.57,فرصة واعدة
السويداء,طاقة متجددة,515.3,0.35,فرصة واعدة
دير الزور,تجارة إلكترونية,11.8,0.38,استثمار متوسط
حمص,طاقة متجددة,125.6,0.41,مخاطرة عالية
حلب,تصنيع غذائي,264.8,0.3,فرصة واعدة
درعا,تجارة إلكترونية,31.6,0.66,فرصة واعدة
حماة,تصنيع غذائي,232.5,0.32,فرصة واعدة
طرطوس,تجارة إلكترونية,40.8,0.61,فرصة واعدة
حماة,زراعة حديثة,94.0,0.43,فرصة واعدة
دير الزور,طاقة متجددة,153.3,0.66,مخاطرة عالية
اللاذقية,تصنيع غذائي,108.2,0.48,استثمار متوسط
إدلب,تجارة إلكترونية,43.1,0.12,فرصة واعدة
الحسكة,خدمات تقنية,28.8,0.12,فرصة واعدة
دير الزور,خدمات تقنية,8.9,0.2,استثمار متوسط
درعا,زراعة حديثة,113.1,0.54,فرصة واعدة
الرقة,زراعة حديثة,28.7,0.18,استثمار متوسط
القنيطرة,زراعة حديثة,136.8,0.15,فرصة واعدة
طرطوس,طاقة متجددة,275.0,0.5,استثمار متوسط
الحسكة,طاقة متجددة,182.8,0.47,استثمار متوسط
حمص,صناعة هندسية,420.6,0.69,مخاطرة عالية
الرقة,خدمات تقنية,27.5,0.37,فرصة واعدة
درعا,زراعة حديثة,28.9,0.55,مخاطرة عالية
درعا,صناعة هندسية,749.7,0.65,فرصة واعدة
إدلب,تجارة إلكترونية,15.7,0.52,استثمار متوسط
حماة,طاقة متجددة,549.3,0.59,فرصة واعدة
حماة,زراعة حديثة,61.5,0.56,استثمار متوسط
طرطوس,طاقة متجددة,436.3,0.14,فرصة واعدة
القنيطرة,تجارة إلكترونية,20.9,0.44,فرصة واعدة
الرقة,تصنيع غذائي,225.1,0.25,فرصة واعدة
اللاذقية,زراعة حديثة,98.5,0.63,فرصة واعدة
اللاذقية,صناعة هندسية,875.8,0.38,فرصة واعدة
اللاذقية,خدمات تقنية,28.1,0.66,فرصة واعدة
درعا,خدمات تقنية,12.5,0.61,استثمار متوسط
ريف دمشق,طاقة متجددة,433.8,0.49,فرصة واعدة
دمشق,زراعة حديثة,32.9,0.22,استثمار متوسط
طرطوس,تجارة إلكترونية,40.0,0.44,فرصة واعدة
دير الزور,طاقة متجددة,306.0,0.14,فرصة واعدة
دير الزور,تجارة إلكترونية,34.6,0.62,فرصة واعدة
ريف دمشق,خدمات تقنية,29.1,0.31,فرصة واعدة
إدلب,صناعة هندسية,559.0,0.61,فرصة واعدة
درعا,خدمات تقنية,15.0,0.29,فرصة واعدة
حماة,طاقة متجددة,434.5,0.3,فرصة واعدة
دمشق,خدمات تقنية,29.0,0.29,فرصة واعدة
القنيطرة,طاقة متجددة,575.2,0.11,فرصة واعدة
ريف دمشق,تجارة إلكترونية,29.6,0.69,فرصة واعدة
إدلب,زراعة حديثة,149.9,0.16,فرصة واعدة
درعا,صناعة هندسية,881.2,0.19,فرصة واعدة
السويداء,تصنيع غذائي,184.7,0.55,فرصة واعدة
دير الزور,تجارة إلكترونية,7.8,0.56,مخاطرة عالية
القنيطرة,تصنيع غذائي,130.0,0.47,استثمار متوسط
درعا,طاقة متجددة,111.6,0.43,مخاطرة عالية
إدلب,زراعة حديثة,86.3,0.36,فرصة واعدة
ريف دمشق,طاقة متجددة,503.0,0.23,فرصة واعدة
اللاذقية,طاقة متجددة,400.3,0.49,فرصة واعدة
حماة,تصنيع غذائي,42.2,0.7,مخاطرة عالية
حلب,طاقة متجددة,387.1,0.58,فرصة واعدة
حمص,صناعة هندسية,695.6,0.21,فرصة واعدة
طرطوس,خدمات تقنية,27.2,0.5,فرصة واعدة
دير الزور,صناعة هندسية,570.6,0.22,فرصة واعدة
طرطوس,تصنيع غذائي,72.4,0.22,مخاطرة عالية
حماة,خدمات تقنية,11.3,0.27,استثمار متوسط
السويداء,خدمات تقنية,17.3,0.61,فرصة واعدة
دمشق,زراعة حديثة,111.9,0.47,فرصة واعدة
دير الزور,طاقة متجددة,548.5,0.58,فرصة واعدة
دمشق,صناعة هندسية,1036.5,0.31,فرصة واعدة
إدلب,خدمات تقنية,20.8,0.3,فرصة واعدة
الحسكة,خدمات تقنية,18.5,0.19,فرصة واعدة
إدلب,زراعة حديثة,54.7,0.19,فرصة واعدة
حمص,طاقة متجددة,397.8,0.14,فرصة واعدة
درعا,زراعة حديثة,22.8,0.12,مخاطرة عالية
اللاذقية,زراعة حديثة,148.5,0.41,فرصة واعدة
ريف دمشق,طاقة متجددة,267.2,0.35,استثمار متوسط
اللاذقية,خدمات تقنية,5.4,0.2,مخاطرة عالية
حماة,تصنيع غذائي,294.1,0.31,فرصة واعدة
حماة,صناعة هندسية,1053.7,0.27,فرصة واعدة
طرطوس,صناعة هندسية,1116.0,0.49,فرصة واعدة
دمشق,خدمات تقنية,8.6,0.27,مخاطرة عالية
السويداء,طاقة متجددة,353.2,0.18,فرصة واعدة
درعا,تصنيع غذائي,40.2,0.66,مخاطرة عالية
حماة,زراعة حديثة,31.4,0.25,مخاطرة عالية
طرطوس,تصنيع غذائي,105.7,0.24,استثمار متوسط
حلب,تصنيع غذائي,142.6,0.38,فرصة واعدة
القنيطرة,تصنيع غذائي,74.9,0.21,استثمار متوسط
حمص,صناعة هندسية,397.7,0.6,مخاطرة عالية
القنيطرة,خدمات تقنية,16.6,0.15,فرصة واعدة
حماة,خدمات تقنية,6.4,0.35,مخاطرة عالية
الرقة,طاقة متجددة,489.2,0.33,فرصة واعدة
دير الزور,زراعة حديثة,90.9,0.29,فرصة واعدة
دير الزور,طاقة متجددة,329.7,0.69,فرصة واعدة
السويداء,زراعة حديثة,59.4,0.52,فرصة واعدة
اللاذقية,تصنيع غذائي,145.5,0.43,فرصة واعدة
الرقة,تجارة إلكترونية,19.3,0.67,استثمار متوسط
الرقة,صناعة هندسية,515.4,0.44,فرصة واعدة
اللاذقية,طاقة متجددة,212.7,0.6,استثمار متوسط
إدلب,خدمات تقنية,14.9,0.32,فرصة واعدة
الرقة,خدمات تقنية,16.9,0.5,فرصة واعدة
حماة,طاقة متجددة,196.7,0.34,استثمار متوسط
درعا,تجارة إلكترونية,33.6,0.45,فرصة واعدة
حماة,طاقة متجددة,369.2,0.44,فرصة واعدة
اللاذقية,زراعة حديثة,124.7,0.47,فرصة واعدة
إدلب,تجارة إلكترونية,32.8,0.28,فرصة واعدة
دمشق,تصنيع غذائي,234.0,0.15,فرصة واعدة
ريف دمشق,طاقة متجددة,476.0,0.39,فرصة واعدة
القنيطرة,تصنيع غذائي,196.3,0.15,فرصة واعدة
حمص,تصنيع غذائي,177.7,0.42,فرصة واعدة
دير الزور,خدمات تقنية,23.2,0.46,فرصة واعدة
القنيطرة,زراعة حديثة,74.3,0.54,فرصة واعدة
الحسكة,طاقة متجددة,259.9,0.35,استثمار متوسط
دير الزور,زراعة حديثة,96.1,0.68,فرصة واعدة
طرطوس,تصنيع غذائي,140.6,0.23,فرصة واعدة
حلب,خدمات تقنية,19.0,0.48,فرصة واعدة
طرطوس,تجارة إلكترونية,39.9,0.67,فرصة واعدة
الرقة,تجارة إلكترونية,6.3,0.65,مخاطرة عالية
ريف دمشق,طاقة متجددة,296.4,0.19,فرصة واعدة
القنيطرة,تجارة إلكترونية,34.0,0.26,فرصة واعدة
طرطوس,زراعة حديثة,32.0,0.6,مخاطرة عالية
دير الزور,زراعة حديثة,97.6,0.62,فرصة واعدة
ريف دمشق,زراعة حديثة,135.5,0.65,فرصة واعدة
درعا,زراعة حديثة,143.5,0.49,فرصة واعدة
درعا,صناعة هندسية,695.3,0.3,فرصة واعدة
حلب,زراعة حديثة,117.5,0.64,فرصة واعدة
اللاذقية,تجارة إلكترونية,11.1,0.5,مخاطرة عالية
حماة,خدمات تقنية,19.8,0.45,فرصة واعدة
اللاذقية,تجارة إلكترونية,8.1,0.19,استثمار متوسط
السويداء,تجارة إلكترونية,28.4,0.12,فرصة واعدة
ريف دمشق,زراعة حديثة,32.2,0.19,استثمار متوسط
ريف دمشق,زراعة حديثة,25.1,0.31,مخاطرة عالية
السويداء,طاقة متجددة,514.6,0.43,فرصة واعدة
اللاذقية,خدمات تقنية,19.8,0.35,فرصة واعدة
حماة,تجارة إلكترونية,9.7,0.27,مخاطرة عالية
القنيطرة,زراعة حديثة,65.8,0.22,فرصة واعدة
درعا,طاقة متجددة,588.6,0.56,فرصة واعدة
إدلب,خدمات تقنية,27.1,0.45,فرصة واعدة
إدلب,زراعة حديثة,86.1,0.16,فرصة واعدة
إدلب,زراعة حديثة,37.8,0.16,استثمار متوسط
ريف دمشق,تجارة إلكترونية,10.4,0.41,مخاطرة عالية
حمص,صناعة هندسية,520.1,0.38,فرصة واعدة
القنيطرة,زراعة حديثة,89.9,0.24,فرصة واعدة
ريف دمشق,طاقة متجددة,151.6,0.34,مخاطرة عالية
درعا,تجارة إلكترونية,38.9,0.27,فرصة واعدة
السويداء,صناعة هندسية,590.7,0.28,فرصة واعدة
الرقة,تجارة إلكترونية,19.4,0.46,استثمار متوسط
طرطوس,صناعة هندسية,971.2,0.32,فرصة واعدة
حلب,تصنيع غذائي,288.4,0.15,فرصة واعدة
السويداء,صناعة هندسية,438.0,0.47,استثمار متوسط
اللاذقية,زراعة حديثة,135.7,0.26,فرصة واعدة
الرقة,خدمات تقنية,10.6,0.26,استثمار متوسط
اللاذقية,زراعة حديثة,78.9,0.6,فرصة واعدة
إدلب,تصنيع غذائي,116.7,0.38,فرصة واعدة
اللاذقية,طاقة متجددة,176.0,0.63,مخاطرة عالية
الرقة,تصنيع غذائي,94.4,0.42,استثمار متوسط
دير الزور,صناعة هندسية,551.3,0.69,استثمار متوسط
السويداء,تجارة إلكترونية,33.0,0.65,فرصة واعدة
الحسكة,صناعة هندسية,698.1,0.61,فرصة واعدة
دير الزور,خدمات تقنية,11.8,0.5,فرصة واعدة
درعا,طاقة متجددة,346.2,0.32,فرصة واعدة
حماة,تجارة إلكترونية,34.5,0.14,فرصة واعدة
الحسكة,تصنيع غذائي,218.6,0.56,فرصة واعدة
الرقة,تصنيع غذائي,100.3,0.49,استثمار متوسط
الرقة,زراعة حديثة,29.1,0.13,مخاطرة عالية
دير الزور,صناعة هندسية,294.5,0.18,استثمار متوسط
اللاذقية,تصنيع غذائي,155.8,0.19,فرصة واعدة
حماة,صناعة هندسية,289.0,0.37,مخاطرة عالية
إدلب,خدمات تقنية,10.2,0.54,استثمار متوسط
دير الزور,تصنيع غذائي,268.8,0.49,فرصة واعدة
حلب,خدمات تقنية,24.0,0.45,فرصة واعدة
دير الزور,تصنيع غذائي,145.0,0.13,فرصة واعدة
طرطوس,تجارة إلكترونية,36.4,0.39,فرصة واعدة
ريف دمشق,صناعة هندسية,889.4,0.63,فرصة واعدة
السويداء,تصنيع غذائي,130.4,0.34,فرصة واعدة
ريف دمشق,خدمات تقنية,12.2,0.15,فرصة واعدة
دمشق,زراعة حديثة,49.5,0.16,استثمار متوسط
درعا,صناعة هندسية,172.0,0.27,مخاطرة عالية
ريف دمشق,طاقة متجددة,99.1,0.68,مخاطرة عالية
ريف دمشق,زراعة حديثة,69.9,0.65,استثمار متوسط
السويداء,زراعة حديثة,114.1,0.15,فرصة واعدة
طرطوس,زراعة حديثة,134.6,0.52,فرصة واعدة
الرقة,زراعة حديثة,55.8,0.17,استثمار متوسط
درعا,خدمات تقنية,10.5,0.12,فرصة واعدة
اللاذقية,زراعة حديثة,101.7,0.39,فرصة واعدة
ريف دمشق,خدمات تقنية,27.9,0.66,فرصة واعدة
طرطوس,زراعة حديثة,104.2,0.47,فرصة واعدة
دير الزور,تجارة إلكترونية,34.7,0.47,فرصة واعدة
السويداء,تجارة إلكترونية,31.2,0.65,فرصة واعدة
الحسكة,تصنيع غذائي,142.8,0.3,فرصة واعدة
ريف دمشق,طاقة متجددة,563.3,0.34,فرصة واعدة
حمص,خدمات تقنية,18.8,0.56,فرصة واعدة
درعا,تجارة إلكترونية,9.0,0.29,مخاطرة عالية
اللاذقية,طاقة متجددة,547.6,0.37,فرصة واعدة
الحسكة,صناعة هندسية,787.0,0.63,فرصة واعدة
درعا,طاقة متجددة,135.2,0.2,استثمار متوسط
طرطوس,زراعة حديثة,141.8,0.11,فرصة واعدة
درعا,زراعة حديثة,69.8,0.16,فرصة واعدة
درعا,خدمات تقنية,14.8,0.64,استثمار متوسط
حمص,زراعة حديثة,126.6,0.54,فرصة واعدة
السويداء,زراعة حديثة,141.7,0.5,فرصة واعدة
ريف دمشق,خدمات تقنية,17.1,0.4,فرصة واعدة
دير الزور,طاقة متجددة,109.5,0.31,مخاطرة عالية
درعا,خدمات تقنية,9.1,0.29,استثمار متوسط
الرقة,تصنيع غذائي,130.6,0.17,فرصة واعدة
الحسكة,زراعة حديثة,119.2,0.28,فرصة واعدة
طرطوس,تجارة إلكترونية,15.6,0.6,استثمار متوسط
حلب,طاقة متجددة,389.3,0.16,فرصة واعدة
دير الزور,خدمات تقنية,11.6,0.65,استثمار متوسط
طرطوس,طاقة متجددة,220.8,0.2,فرصة واعدة
ريف دمشق,طاقة متجددة,181.5,0.34,استثمار متوسط
طرطوس,تجارة إلكترونية,23.5,0.17,فرصة واعدة
السويداء,تجارة إلكترونية,9.8,0.26,استثمار متوسط
الحسكة,خدمات تقنية,20.6,0.49,فرصة واعدة
حماة,خدمات تقنية,27.4,0.68,فرصة واعدة
طرطوس,زراعة حديثة,62.3,0.25,استثمار متوسط
دمشق,خدمات تقنية,29.3,0.37,فرصة واعدة
ريف دمشق,تصنيع غذائي,188.9,0.66,فرصة واعدة
القنيطرة,خدمات تقنية,8.3,0.63,مخاطرة عالية
دير الزور,تصنيع غذائي,185.4,0.18,فرصة واعدة
الرقة,تجارة إلكترونية,23.5,0.12,فرصة واعدة
درعا,طاقة متجددة,555.9,0.66,فرصة واعدة
القنيطرة,تجارة إلكترونية,8.4,0.6,مخاطرة عالية
حماة,زراعة حديثة,145.2,0.7,فرصة واعدة
دير الزور,طاقة متجددة,227.2,0.16,فرصة واعدة
دمشق,طاقة متجددة,521.2,0.54,فرصة واعدة
دمشق,خدمات تقنية,23.8,0.54,فرصة واعدة
اللاذقية,صناعة هندسية,196.4,0.31,مخاطرة عالية
طرطوس,تصنيع غذائي,100.6,0.47,استثمار متوسط
دير الزور,صناعة هندسية,224.3,0.36,مخاطرة عالية
حماة,صناعة هندسية,776.2,0.14,فرصة واعدة
دمشق,خدمات تقنية,28.1,0.52,فرصة واعدة
السويداء,تصنيع غذائي,287.0,0.51,فرصة واعدة
دمشق,تجارة إلكترونية,15.7,0.58,مخاطرة عالية
اللاذقية,صناعة هندسية,746.9,0.13,فرصة واعدة
اللاذقية,طاقة متجددة,515.1,0.49,فرصة واعدة
دير الزور,طاقة متجددة,323.9,0.51,فرصة واعدة
حلب,تجارة إلكترونية,20.8,0.6,استثمار متوسط
ريف دمشق,تصنيع غذائي,84.7,0.67,مخاطرة عالية
السويداء,تصنيع غذائي,161.6,0.26,فرصة واعدة
القنيطرة,طاقة متجددة,148.2,0.35,مخاطرة عالية
القنيطرة,زراعة حديثة,44.3,0.29,استثمار متوسط
الرقة,تجارة إلكترونية,16.9,0.66,استثمار متوسط
حماة,طاقة متجددة,129.2,0.1,استثمار متوسط
حمص,صناعة هندسية,577.4,0.52,فرصة واعدة
درعا,صناعة هندسية,758.3,0.65,فرصة واعدة
درعا,خدمات تقنية,28.9,0.57,فرصة واعدة
السويداء,زراعة حديثة,107.5,0.51,فرصة واعدة
طرطوس,تصنيع غذائي,127.0,0.47,استثمار متوسط
طرطوس,طاقة متجددة,82.4,0.49,مخاطرة عالية
حلب,تصنيع غذائي,260.1,0.4,فرصة واعدة
حماة,تجارة إلكترونية,8.5,0.67,مخاطرة عالية
طرطوس,طاقة متجددة,375.2,0.13,فرصة واعدة
إدلب,تجارة إلكترونية,33.8,0.66,فرصة واعدة
الحسكة,زراعة حديثة,138.3,0.55,فرصة واعدة
إدلب,طاقة متجددة,273.4,0.61,فرصة واعدة
السويداء,طاقة متجددة,579.5,0.42,فرصة واعدة
الحسكة,تجارة إلكترونية,27.7,0.61,فرصة واعدة
طرطوس,زراعة حديثة,38.7,0.15,استثمار متوسط
دمشق,تجارة إلكترونية,42.8,0.56,فرصة واعدة
حمص,تجارة إلكترونية,18.2,0.14,فرصة واعدة
السويداء,طاقة متجددة,390.3,0.62,فرصة واعدة
القنيطرة,طاقة متجددة,582.1,0.18,فرصة واعدة
السويداء,طاقة متجددة,316.5,0.69,استثمار متوسط
حمص,تجارة إلكترونية,36.2,0.67,فرصة واعدة
درعا,تجارة إلكترونية,19.9,0.15,فرصة واعدة
دمشق,تجارة إلكترونية,10.7,0.53,مخاطرة عالية
القنيطرة,صناعة هندسية,802.8,0.44,فرصة واعدة
ريف دمشق,تجارة إلكترونية,38.2,0.69,فرصة واعدة
دمشق,طاقة متجددة,566.6,0.15,فرصة واعدة
درعا,صناعة هندسية,196.6,0.23,استثمار متوسط
درعا,تصنيع غذائي,62.4,0.51,مخاطرة عالية
حمص,خدمات تقنية,27.9,0.56,فرصة واعدة
اللاذقية,زراعة حديثة,57.5,0.41,فرصة واعدة
درعا,صناعة هندسية,578.1,0.7,فرصة واعدة
السويداء,خدمات تقنية,11.6,0.29,فرصة واعدة
حماة,تصنيع غذائي,43.1,0.12,مخاطرة عالية
ريف دمشق,زراعة حديثة,97.6,0.5,فرصة واعدة
حماة,تجارة إلكترونية,17.3,0.31,فرصة واعدة
حمص,طاقة متجددة,201.7,0.4,استثمار متوسط
السويداء,طاقة متجددة,240.5,0.25,استثمار متوسط
الحسكة,زراعة حديثة,58.6,0.47,فرصة واعدة
دير الزور,خدمات تقنية,29.3,0.48,فرصة واعدة
حمص,خدمات تقنية,27.9,0.67,فرصة واعدة
حماة,صناعة هندسية,531.9,0.53,استثمار متوسط
حمص,خدمات تقنية,9.0,0.66,مخاطرة عالية
حماة,تجارة إلكترونية,12.4,0.25,استثمار متوسط
الحسكة,صناعة هندسية,465.6,0.24,فرصة واعدة
درعا,زراعة حديثة,65.5,0.41,فرصة واعدة
حلب,طاقة متجددة,286.1,0.52,استثمار متوسط
إدلب,تجارة إلكترونية,29.5,0.58,فرصة واعدة
حماة,تصنيع غذائي,245.5,0.45,فرصة واعدة
حمص,زراعة حديثة,39.4,0.18,استثمار متوسط
القنيطرة,زراعة حديثة,80.1,0.32,فرصة واعدة
طرطوس,تصنيع غذائي,221.3,0.49,فرصة واعدة
ريف دمشق,تجارة إلكترونية,7.4,0.61,مخاطرة عالية
الحسكة,تجارة إلكترونية,43.8,0.63,فرصة واعدة
دمشق,تجارة إلكترونية,12.0,0.36,استثمار متوسط
حلب,طاقة متجددة,492.3,0.53,فرصة واعدة
طرطوس,تجارة إلكترونية,29.0,0.3,فرصة واعدة
حمص,تصنيع غذائي,152.5,0.26,فرصة واعدة
درعا,تجارة إلكترونية,44.2,0.58,فرصة واعدة
